follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
1247,960,"['Becoming', 'me']",3,4,0,81,1,12,0,22,1,34,0,0
733,294,[],1,0,0,47,1,13,0,8,1,12,0,0
220,211,"['Capricorn', 'Andrean', 'Ex', 'Boscoite']",6,3,0,2,1,13,2,12,1,14,0,0
307,292,[],0,0,0,48,1,11,0,16,1,25,0,0
449,346,[],0,0,0,8,1,12,2,10,1,3,0,0
2458,1491,"['Bombae', 'Internaut', 'Developer', 'Social', 'Good', 'PRPhilosophy', 'Psychology', 'Technology', 'Environment', 'Polymath', 'Sapiosexual', 'GMaps', 'L']",24,13,3,131,0,12,3,13,1,28,0,0
424,547,"['Darling', 'the', 'moon', 'is', 'still', 'the', 'moon', 'in', 'all', 'its', 'phases']",14,2,0,2,1,12,0,13,1,34,0,0
6,8,"['Videographer', 'shotoniPhone']",5,5,1,5,0,13,3,10,1,0,0,0
561,953,"['Mumbai', 'Syracuse', 'Sweet', 'tooth', 'Netflix', 'addict', 'Dog', 'lover', 'Travel', 'buff', 'ecstatichoppers']",14,9,0,128,1,13,0,15,1,22,0,0
76,296,[],23,0,0,14,0,11,0,17,1,12,0,0
839,899,[],1,0,0,1,1,8,0,14,1,45,0,0
447,704,[],0,0,0,3,1,13,0,4,1,7,0,0
336,308,"['Dream', 'as', 'if', ""you'll"", 'live', 'forever', 'Live', 'as', 'if', ""you'll"", 'die', 'today']",12,1,0,16,1,14,0,6,1,14,0,0
99,148,[],0,0,0,1,1,13,0,0,1,14,0,0
213,608,[],0,0,0,27,1,12,0,12,1,0,0,0
609,582,"['Sest', 'fait', 'arnaquer', 'hein']",6,3,0,15,1,20,0,24,1,48,0,0
392,733,[],0,0,0,11,1,12,0,5,1,8,0,0
1093,759,"['Screw', 'perfection', 'XXI']",3,1,0,1,1,15,0,15,0,23,0,0
806,734,"['Join', 'the', 'whatsapp', 'group', 'via', 'below', 'the', 'below', 'link', 'link']",10,1,0,22,1,16,2,8,0,40,0,0
785,568,[],2,0,0,133,0,7,3,16,1,19,0,0
544,558,"['MumbaiStep', 'by', 'step', 'day', 'by', 'day']",8,2,0,39,1,11,2,11,1,8,0,0
354,406,[],1,4,0,3,1,11,0,11,1,22,0,0
531,489,[],1,0,0,3,1,14,0,0,1,20,0,0
242,92,[],8,0,0,1,1,13,2,0,1,0,0,0
436,508,[],3,0,0,10,1,11,0,14,0,70,0,0
413,441,[],26,0,0,25,1,9,3,15,1,22,0,0
1153,1291,[],0,0,0,67,1,12,0,0,1,61,0,0
496,480,['Into'],1,2,0,25,0,13,0,5,1,54,0,0
243,181,[],0,0,0,11,1,11,0,10,1,32,0,0
234,311,[],3,0,0,0,1,9,0,16,1,0,0,0
634,708,"['Footballer', 'The', 'fire', 'within', 'me', 'never', 'dies', 'Even', 'if', 'I', 'fail', 'I', 'will', 'never', 'stop', 'trying', 'Bcz', 'an', 'footballer', 'always', 'an', 'footballer']",25,3,0,2,0,12,0,12,0,0,0,0
338,818,"['travel', 'Cuse']",8,9,1,29,1,13,3,14,1,0,0,0
118,261,"['I', 'am', 'a', 'perfect', 'smoker', 'i', 'love', 'listening', 'to', 'music', 'and', 'i', 'love', 'playing', 'cricket', 'I', 'am', 'graduate', 'student', 'of', 'a', 'mechanical', 'engineering']",27,5,0,26,1,12,2,15,1,18,0,0
244,350,[],1,0,0,33,1,13,0,0,1,24,0,0
213,245,"['Software', 'Engineer', 'Working', 'at', 'Capgemini', 'Technologies']",7,3,0,125,1,12,2,6,1,24,0,0
2283,3652,[],1,4,0,8,1,10,0,6,1,0,0,0
105,135,[],0,0,0,2,0,11,2,10,1,0,0,0
325,905,"['Jan', 'Atharvite', 'Mumbaikar', 'Songs', 'lover']",8,6,0,7,1,11,0,12,1,23,0,0
