follower_count,followed_count,bio,bio_Length,Bio_emoji_Count,#_tags_in_bio,Count_Uploads,isPrivate,Username_len,DigitsInUsername,FullName_len,has_ProfilePicture,Count_Mutual,isVerified,Class
99,5568,[],0,0,0,25,0,8,4,8,1,0,0,1
90,2908,[],0,0,0,10,0,10,0,0,1,0,0,1
83,1590,[],1,0,0,29,0,9,4,9,1,0,0,1
139,7507,[],0,0,0,23,0,15,2,0,1,0,0,1
90,1661,[],5,0,0,5,1,9,0,0,1,0,0,1
85,2750,"['تابع', 'قوانین', 'جمهوری', 'اسلامی', 'ایرانلطفا', 'انتقاد', 'و', 'نظرتونو', 'با', 'احترام', 'بیان', 'کنید']",13,2,0,4,1,17,3,6,1,0,0,1
69,2417,[],0,0,0,5,0,9,2,0,1,0,0,1
576,2038,[],0,0,0,20,0,16,8,8,1,0,0,1
89,7163,[],0,0,0,22,0,9,4,0,1,0,0,1
172,240,"['کراتین', 'بوتاکس', 'پلکسی', 'ارگان', 'تراپی', 'کلاژن', 'تراپی', 'پروتئین', 'تراپی', 'احیا', 'و', 'صافی', 'انواع', 'موها', 'با', 'بهترین', 'مواد', 'و', 'بالاترین', 'ماندگاری', 'rashtgilan']",25,5,1,6,0,11,0,17,1,0,0,1
76,7181,[],0,0,0,22,0,9,4,0,1,0,0,1
91,7391,[],1,0,1,26,0,18,0,5,1,0,0,1
131,6388,[],0,0,0,22,0,10,0,0,1,0,0,1
45,1254,[],0,0,0,7,0,13,4,0,1,0,0,1
59,960,[],0,0,0,4,0,11,3,5,1,0,0,1
53,530,[],0,0,0,4,0,7,0,0,1,0,0,1
233,3027,[],4,0,0,4,0,12,6,21,1,0,0,1
81,4804,[],0,0,0,22,0,12,4,0,1,0,0,1
447,670,"['فقط', 'خدا', 'میتونه', 'مجازاتم', 'کنه']",5,1,0,0,1,15,0,0,1,0,0,1
84,6635,"['فقط', 'خدا']",3,4,0,5,1,13,3,13,1,0,0,1
98,4824,[],0,0,0,22,0,11,3,0,1,0,0,1
140,5933,[],20,0,0,23,0,13,1,13,1,0,0,1
68,1289,[],0,0,0,24,0,10,5,0,1,0,0,1
132,5569,[],0,0,0,23,0,8,5,1,1,0,0,1
158,7195,[],0,0,0,4,0,8,1,0,1,0,0,1
539,2853,"['مشهد', 'مقدس', 'خیابان', 'خسروی', 'پاساژ', 'لیدوما', 'طبقه', 'پلاک', 'جواهری', 'رفیعی', 'یزدجهت', 'ثبت', 'سفارش', 'در', 'خدمت', 'فالور', 'های', 'عزیز']",21,1,0,249,0,19,0,19,1,0,0,1
64,3852,[],5,0,0,5,1,13,0,7,1,0,0,1
100,3489,[],0,0,0,22,0,9,5,0,1,0,0,1
88,3405,[],0,0,0,4,0,17,4,14,1,0,0,1
84,4231,[],0,0,0,4,0,11,1,0,1,0,0,1
130,3835,[],1,11,0,4,0,10,1,0,1,0,0,1
61,305,[],0,0,0,13,0,7,0,3,1,0,0,1
68,3299,[],0,0,0,4,0,10,3,0,1,0,0,1
1520,487,"['گالری', 'خرازیانطلا', 'و', 'جواهری', 'خرازیانساریمیدان', 'ساعتپاساژ', 'تندیستلفن=موبایل=Messaje']",12,11,0,88,0,17,0,21,1,0,0,1
201,6531,['ک'],1,5,0,4,0,10,0,10,1,0,0,1
79,5256,[],0,0,0,30,0,10,5,8,1,0,0,1
89,1532,[],4,0,0,4,0,14,0,4,1,0,0,1
101,4490,[],1,6,0,12,0,8,4,0,1,0,0,1
48,2951,[],0,0,0,11,1,12,4,5,1,0,0,1
67,475,[],0,0,0,5,0,10,4,0,1,0,0,1
94,4794,"['margatsniyab', '𝑺𝑶𝑺', '𝒀𝑶', '𝑰𝑹𝑨𝑸', 'عيناها', 'تقنع', 'الملحدين', 'بأن', 'الله', 'مبدع']",16,15,0,4,0,8,6,9,1,0,0,1
6931,5616,"['badansazTEHRANandishetatalooاستقلالیELXبازوحشیچهره', 'مشهورگیتاریستپسرک', 'جنگی']",11,15,1,74,0,14,0,15,1,0,0,1
129,6946,[],22,0,0,4,0,8,6,9,1,0,0,1
173,2795,"['شیفتگان', 'پرواز', 'را', 'میل', 'به', 'خزیدن', 'نیستابع', 'قوانین', 'خودمماشینباز', 'موتوربازان']",14,4,2,10,0,10,3,13,1,0,0,1
56,1951,[],1,0,0,12,1,13,4,10,1,0,0,1
183,487,[],1,2,0,1,0,13,5,23,1,0,0,1
693,1207,[],0,0,0,0,0,9,2,5,1,0,0,1
148,7450,[],0,0,0,6,0,12,8,0,1,0,0,1
103,6174,[],22,0,0,4,0,8,6,6,1,0,0,1
91,459,[],1,0,0,22,0,8,2,8,1,0,0,1
84,2480,"['در', 'حال', 'مرگ', '𝓑𝓻𝓸𝔀𝓼𝓮', '𝓽𝓱𝓮', '𝓶𝓮𝓶𝓸𝓲𝓻𝓼', '𝓽𝓱𝓮', '𝓬𝓻𝓪𝔃𝓲𝓮𝓼𝓽', '𝓬𝓻𝓲𝓶𝓮', '𝓽𝓱𝓪𝓽', '𝓱𝓾𝓶𝓪𝓷', '𝓶𝓪𝓴𝓮𝓼', '𝓽𝓸', '𝓱𝓲𝓼', '𝓻𝓲𝓰𝓱𝓽', 'از', 'ےجايے', 'بہـ', 'بــد', 'فقــط', 'زنده', 'اےShj']",26,25,1,0,0,18,2,5,1,0,0,1
83,2410,[],0,0,0,24,1,11,0,11,1,0,0,1
102,5362,[],4,0,0,4,0,8,1,8,1,0,0,1
82,3158,[],1,0,0,22,0,16,5,4,1,0,0,1
283,6350,[],0,0,0,4,0,9,2,5,1,0,0,1
